Time(min),t1,t,eta,Pressure,Temperature,H,r,tau
2,120,0.011111111,3193.4,80,130,0.001,1,6.68824132
4,240,0.022222222,3088.2,80,130,0.001,1,6.467910955
6,360,0.033333333,2995.7,80,130,0.001,1,6.274179408
8,480,0.044444444,2907.1,80,130,0.001,1,6.088616002
10,600,0.055555556,2822.6,80,130,0.001,1,5.911639616
12,720,0.066666667,2738.5,80,130,0.001,1,5.735500988
14,840,0.077777778,2671.4,80,130,0.001,1,5.594967077
16,960,0.088888889,2570.4,80,130,0.001,1,5.383433171
18,1080,0.1,2509.5,80,130,0.001,1,5.255884509
20,1200,0.111111111,2446.2,80,130,0.001,1,5.123309299
22,1320,0.122222222,2390,80,130,0.001,1,5.005604295
24,1440,0.133333333,2362.7,80,130,0.001,1,4.948427308
26,1560,0.144444444,2297.7,80,130,0.001,1,4.812291627
28,1680,0.155555556,2243.7,80,130,0.001,1,4.699194291
30,1800,0.166666667,2191.9,80,130,0.001,1,4.590704625
32,1920,0.177777778,2144,80,130,0.001,1,4.4903831
34,2040,0.188888889,2097.2,80,130,0.001,1,4.392365409
36,2160,0.2,2053.2,80,130,0.001,1,4.300212024
38,2280,0.211111111,2013.9,80,130,0.001,1,4.217902297
40,2400,0.222222222,1978.5,80,130,0.001,1,4.14376071
42,2520,0.233333333,1940.9,80,130,0.001,1,4.065011454
44,2640,0.244444444,1905.2,80,130,0.001,1,3.990241549
46,2760,0.255555556,1866.7,80,130,0.001,1,3.909607338
48,2880,0.266666667,1832.2,80,130,0.001,1,3.837350707
50,3000,0.277777778,1806.3,80,130,0.001,1,3.783105873
52,3120,0.288888889,1781.2,80,130,0.001,1,3.730536556
54,3240,0.3,1725.8,80,130,0.001,1,3.614507068
56,3360,0.311111111,1705.7,80,130,0.001,1,3.572409726
58,3480,0.322222222,1657.8,80,130,0.001,1,3.472088201
60,3600,0.333333333,1640.8,80,130,0.001,1,3.436483484
62,3720,0.344444444,1613.6,80,130,0.001,1,3.379515937
