Time(min),t1,t,eta,Pressure,Temperature,H,r,tau
64,3840,0.355555556,1573.5,80,130,0.001,1,3.295530694
66,3960,0.366666667,1524.9,80,130,0.001,1,3.193743092
68,4080,0.377777778,1514.9,80,130,0.001,1,3.172799141
70,4200,0.388888889,1503.5,80,130,0.001,1,3.148923036
72,4320,0.4,1468.8,80,130,0.001,1,3.076247526
74,4440,0.411111111,1452.8,80,130,0.001,1,3.042737205
76,4560,0.422222222,1434.2,80,130,0.001,1,3.003781456
78,4680,0.433333333,1405.1,80,130,0.001,1,2.942834558
80,4800,0.444444444,1373.4,80,130,0.001,1,2.876442234
82,4920,0.455555556,1355.6,80,130,0.001,1,2.839162001
84,5040,0.466666667,1337.8,80,130,0.001,1,2.801881768
86,5160,0.477777778,1331.4,80,130,0.001,1,2.788477639
88,5280,0.488888889,1318.9,80,130,0.001,1,2.762297701
90,5400,0.5,1286.3,80,130,0.001,1,2.69402042
92,5520,0.511111111,1246.1,80,130,0.001,1,2.609825737
94,5640,0.522222222,1240,80,130,0.001,1,2.597049927
96,5760,0.533333333,1204.6,80,130,0.001,1,2.52290834
98,5880,0.544444444,1181.1,80,130,0.001,1,2.473690055
100,6000,0.555555556,1176.1,80,130,0.001,1,2.46321808
102,6120,0.566666667,1143.7,80,130,0.001,1,2.395359679
104,6240,0.577777778,1123.4,80,130,0.001,1,2.352843458
106,6360,0.588888889,1105.5,80,130,0.001,1,2.315353786
108,6480,0.6,1089.7,80,130,0.001,1,2.282262343
110,6600,0.611111111,1075.9,80,130,0.001,1,2.253359691
112,6720,0.622222222,1060,80,130,0.001,1,2.220058809
114,6840,0.633333333,1049.2,80,130,0.001,1,2.197439341
116,6960,0.644444444,1034,80,130,0.001,1,2.165604536
118,7080,0.655555556,1019.9,80,130,0.001,1,2.136073565
120,7200,0.666666667,1011.7,80,130,0.001,1,2.118899525
122,7320,0.677777778,1001.9,80,130,0.001,1,2.098374453
124,7440,0.688888889,989.69,80,130,0.001,1,2.072801889
126,7560,0.7,982.33,80,130,0.001,1,2.057387141
128,7680,0.711111111,976.24,80,130,0.001,1,2.044632275
130,7800,0.722222222,965.25,80,130,0.001,1,2.021614873
132,7920,0.733333333,957.3,80,130,0.001,1,2.004964432
134,8040,0.744444444,946.91,80,130,0.001,1,1.983203666
136,8160,0.755555556,954.07,80,130,0.001,1,1.998199535
138,8280,0.766666667,927.2,80,130,0.001,1,1.941923139
140,8400,0.777777778,922.98,80,130,0.001,1,1.933084792
142,8520,0.788888889,902.61,80,130,0.001,1,1.890421963
144,8640,0.8,896.82,80,130,0.001,1,1.878295416
146,8760,0.811111111,894.89,80,130,0.001,1,1.874253233
148,8880,0.822222222,882.12,80,130,0.001,1,1.847507808
150,9000,0.833333333,868.95,80,130,0.001,1,1.819924624
152,9120,0.844444444,861.62,80,130,0.001,1,1.804572708
154,9240,0.855555556,850.45,80,130,0.001,1,1.781178315
156,9360,0.866666667,847.35,80,130,0.001,1,1.77468569
158,9480,0.877777778,839.69,80,130,0.001,1,1.758642624
160,9600,0.888888889,834.95,80,130,0.001,1,1.748715191
162,9720,0.9,829.37,80,130,0.001,1,1.737028466
164,9840,0.911111111,824.01,80,130,0.001,1,1.725802508
166,9960,0.922222222,818.07,80,130,0.001,1,1.713361801
168,10080,0.933333333,814.05,80,130,0.001,1,1.704942333
170,10200,0.944444444,799.04,80,130,0.001,1,1.673505463
172,10320,0.955555556,801.26,80,130,0.001,1,1.67815502
174,10440,0.966666667,789.27,80,130,0.001,1,1.653043222
176,10560,0.977777778,792.91,80,130,0.001,1,1.660666821
178,10680,0.988888889,780.99,80,130,0.001,1,1.635701631
180,10800,1,775.37,80,130,0.001,1,1.623931131
