Time(min),t1,t,eta,Pressure,Temperature,H,r1,r,tau
5,300,0.007092199,3925.5,100,120,0.001,0.01,1,0.06166161
10,600,0.014184397,3265.4,100,120,0.001,0.01,1,0.051292783
15,900,0.021276596,2895,100,120,0.001,0.01,1,0.045474554
20,1200,0.028368794,2822.1,100,120,0.001,0.01,1,0.044329443
25,1500,0.035460993,2542.4,100,120,0.001,0.01,1,0.039935926
30,1800,0.042553191,2326.9,100,120,0.001,0.01,1,0.03655086
35,2100,0.04964539,2164.4,100,120,0.001,0.01,1,0.033998316
40,2400,0.056737589,2034.9,100,120,0.001,0.01,1,0.031964134
45,2700,0.063829787,1900.2,100,120,0.001,0.01,1,0.029848272
50,3000,0.070921986,1786.2,100,120,0.001,0.01,1,0.028057564
55,3300,0.078014184,1666.9,100,120,0.001,0.01,1,0.026183604
60,3600,0.085106383,1581,100,120,0.001,0.01,1,0.02483429
65,3900,0.092198582,1505.5,100,120,0.001,0.01,1,0.023648339
70,4200,0.09929078,1433.8,100,120,0.001,0.01,1,0.022522078
75,4500,0.106382979,1372.5,100,120,0.001,0.01,1,0.02155918
80,4800,0.113475177,1318.5,100,120,0.001,0.01,1,0.02071095
85,5100,0.120567376,1268.3,100,120,0.001,0.01,1,0.01992241
90,5400,0.127659574,1197.2,100,120,0.001,0.01,1,0.018805574
95,5700,0.134751773,1157.5,100,120,0.001,0.01,1,0.018181967
100,6000,0.141843972,1112.6,100,120,0.001,0.01,1,0.01747668
105,6300,0.14893617,1063.1,100,120,0.001,0.01,1,0.016699136
110,6600,0.156028369,1024.1,100,120,0.001,0.01,1,0.016086525
115,6900,0.163120567,979.21,100,120,0.001,0.01,1,0.015381395
120,7200,0.170212766,959.45,100,120,0.001,0.01,1,0.015071005
125,7500,0.177304965,907.65,100,120,0.001,0.01,1,0.014257333
130,7800,0.184397163,872.9,100,120,0.001,0.01,1,0.013711481
135,8100,0.191489362,836.19,100,120,0.001,0.01,1,0.013134842
140,8400,0.19858156,802.66,100,120,0.001,0.01,1,0.012608154
145,8700,0.205673759,773.21,100,120,0.001,0.01,1,0.012145554
150,9000,0.212765957,746.82,100,120,0.001,0.01,1,0.011731021
155,9300,0.219858156,727.79,100,120,0.001,0.01,1,0.011432099
160,9600,0.226950355,730.58,100,120,0.001,0.01,1,0.011475924
165,9900,0.234042553,689.66,100,120,0.001,0.01,1,0.010833154
170,10200,0.241134752,679.38,100,120,0.001,0.01,1,0.010671676
175,10500,0.24822695,640.28,100,120,0.001,0.01,1,0.010057495
180,10800,0.255319149,614.54,100,120,0.001,0.01,1,0.009653172
185,11100,0.262411348,590.26,100,120,0.001,0.01,1,0.009271782
190,11400,0.269503546,567.09,100,120,0.001,0.01,1,0.008907829
195,11700,0.276595745,547.95,100,120,0.001,0.01,1,0.008607178
200,12000,0.283687943,534.02,100,120,0.001,0.01,1,0.008388367
205,12300,0.290780142,516.3,100,120,0.001,0.01,1,0.008110021
210,12600,0.29787234,508.8,100,120,0.001,0.01,1,0.007992212
215,12900,0.304964539,494.45,100,120,0.001,0.01,1,0.007766802
220,13200,0.312056738,472.79,100,120,0.001,0.01,1,0.007426568
225,13500,0.319148936,470.53,100,120,0.001,0.01,1,0.007391068
230,13800,0.326241135,460.69,100,120,0.001,0.01,1,0.007236502
235,14100,0.333333333,449.75,100,120,0.001,0.01,1,0.007064656
240,14400,0.340425532,448.54,100,120,0.001,0.01,1,0.00704565
245,14700,0.34751773,433.41,100,120,0.001,0.01,1,0.006807988
250,15000,0.354609929,425.84,100,120,0.001,0.01,1,0.006689079
255,15300,0.361702128,420.79,100,120,0.001,0.01,1,0.006609754
260,15600,0.368794326,416.65,100,120,0.001,0.01,1,0.006544723
265,15900,0.375886525,407.8,100,120,0.001,0.01,1,0.006405707
270,16200,0.382978723,400.67,100,120,0.001,0.01,1,0.00629371
275,16500,0.390070922,402.85,100,120,0.001,0.01,1,0.006327953
280,16800,0.397163121,382.26,100,120,0.001,0.01,1,0.006004526
285,17100,0.404255319,373.58,100,120,0.001,0.01,1,0.005868181
290,17400,0.411347518,367.66,100,120,0.001,0.01,1,0.00577519
295,17700,0.418439716,376.64,100,120,0.001,0.01,1,0.005916247
300,18000,0.425531915,365.43,100,120,0.001,0.01,1,0.005740161
305,18300,0.432624113,355.18,100,120,0.001,0.01,1,0.005579154
310,18600,0.439716312,332.46,100,120,0.001,0.01,1,0.005222269
315,18900,0.446808511,330.23,100,120,0.001,0.01,1,0.005187241
320,19200,0.453900709,329.81,100,120,0.001,0.01,1,0.005180643
325,19500,0.460992908,318.21,100,120,0.001,0.01,1,0.004998431
330,19800,0.468085106,312.97,100,120,0.001,0.01,1,0.004916121
335,20100,0.475177305,308.96,100,120,0.001,0.01,1,0.004853132
340,20400,0.482269504,303.56,100,120,0.001,0.01,1,0.004768309
345,20700,0.489361702,301.57,100,120,0.001,0.01,1,0.00473705
350,21000,0.496453901,297.72,100,120,0.001,0.01,1,0.004676575
355,21300,0.503546099,294.18,100,120,0.001,0.01,1,0.004620969
360,21600,0.510638298,290.86,100,120,0.001,0.01,1,0.004568818
365,21900,0.517730496,287.54,100,120,0.001,0.01,1,0.004516668
370,22200,0.524822695,283.98,100,120,0.001,0.01,1,0.004460747
375,22500,0.531914894,280.61,100,120,0.001,0.01,1,0.004407812
380,22800,0.539007092,277.16,100,120,0.001,0.01,1,0.004353619
385,23100,0.546099291,274.56,100,120,0.001,0.01,1,0.004312778
390,23400,0.553191489,270.71,100,120,0.001,0.01,1,0.004252303
395,23700,0.560283688,268.45,100,120,0.001,0.01,1,0.004216803
400,24000,0.567375887,265.48,100,120,0.001,0.01,1,0.00417015
405,24300,0.574468085,261.37,100,120,0.001,0.01,1,0.00410559
410,24600,0.581560284,258.94,100,120,0.001,0.01,1,0.00406742
415,24900,0.588652482,256.61,100,120,0.001,0.01,1,0.00403082
420,25200,0.595744681,253.46,100,120,0.001,0.01,1,0.00398134
425,25500,0.602836879,250.72,100,120,0.001,0.01,1,0.003938301
430,25800,0.609929078,247.19,100,120,0.001,0.01,1,0.003882851
435,26100,0.617021277,245.36,100,120,0.001,0.01,1,0.003854106
440,26400,0.624113475,244.36,100,120,0.001,0.01,1,0.003838398
445,26700,0.631205674,242.71,100,120,0.001,0.01,1,0.00381248
450,27000,0.638297872,236.73,100,120,0.001,0.01,1,0.003718546
455,27300,0.645390071,233.95,100,120,0.001,0.01,1,0.003674878
460,27600,0.65248227,230.56,100,120,0.001,0.01,1,0.003621628
465,27900,0.659574468,227.91,100,120,0.001,0.01,1,0.003580002
470,28200,0.666666667,225.56,100,120,0.001,0.01,1,0.003543088
475,28500,0.673758865,221.45,100,120,0.001,0.01,1,0.003478528
480,28800,0.680851064,217.93,100,120,0.001,0.01,1,0.003423236
485,29100,0.687943262,215.87,100,120,0.001,0.01,1,0.003390878
490,29400,0.695035461,214.56,100,120,0.001,0.01,1,0.003370301
495,29700,0.70212766,212.76,100,120,0.001,0.01,1,0.003342026
500,30000,0.709219858,210.65,100,120,0.001,0.01,1,0.003308882
505,30300,0.716312057,208.64,100,120,0.001,0.01,1,0.003277309
510,30600,0.723404255,206.98,100,120,0.001,0.01,1,0.003251234
515,30900,0.730496454,205.61,100,120,0.001,0.01,1,0.003229714
520,31200,0.737588652,204.05,100,120,0.001,0.01,1,0.00320521
525,31500,0.744680851,203.51,100,120,0.001,0.01,1,0.003196728
530,31800,0.75177305,202.04,100,120,0.001,0.01,1,0.003173637
535,32100,0.758865248,201.04,100,120,0.001,0.01,1,0.003157929
540,32400,0.765957447,199.93,100,120,0.001,0.01,1,0.003140493
545,32700,0.773049645,198.37,100,120,0.001,0.01,1,0.003115989
550,33000,0.780141844,197.53,100,120,0.001,0.01,1,0.003102794
555,33300,0.787234043,196.37,100,120,0.001,0.01,1,0.003084573
560,33600,0.794326241,195.37,100,120,0.001,0.01,1,0.003068865
565,33900,0.80141844,194.38,100,120,0.001,0.01,1,0.003053314
570,34200,0.808510638,193.78,100,120,0.001,0.01,1,0.003043889
575,34500,0.815602837,192.46,100,120,0.001,0.01,1,0.003023155
580,34800,0.822695035,192.01,100,120,0.001,0.01,1,0.003016086
585,35100,0.829787234,191.56,100,120,0.001,0.01,1,0.003009017
590,35400,0.836879433,190.36,100,120,0.001,0.01,1,0.002990168
595,35700,0.843971631,188.98,100,120,0.001,0.01,1,0.002968491
600,36000,0.85106383,188.03,100,120,0.001,0.01,1,0.002953568
605,36300,0.858156028,187.27,100,120,0.001,0.01,1,0.00294163
610,36600,0.865248227,186.48,100,120,0.001,0.01,1,0.002929221
615,36900,0.872340426,185.37,100,120,0.001,0.01,1,0.002911785
620,37200,0.879432624,184.39,100,120,0.001,0.01,1,0.002896391
625,37500,0.886524823,183.49,100,120,0.001,0.01,1,0.002882254
630,37800,0.893617021,183.1,100,120,0.001,0.01,1,0.002876128
635,38100,0.90070922,182.76,100,120,0.001,0.01,1,0.002870787
640,38400,0.907801418,181.83,100,120,0.001,0.01,1,0.002856179
645,38700,0.914893617,180.74,100,120,0.001,0.01,1,0.002839057
650,39000,0.921985816,179.37,100,120,0.001,0.01,1,0.002817537
655,39300,0.929078014,179.04,100,120,0.001,0.01,1,0.002812354
660,39600,0.936170213,178.47,100,120,0.001,0.01,1,0.0028034
665,39900,0.943262411,178.05,100,120,0.001,0.01,1,0.002796803
670,40200,0.95035461,177.16,100,120,0.001,0.01,1,0.002782823
