Time(min),t1,t,eta,Pressure,Temperature,H,r,tau
122,7320,0.677777778,93.267,40,150,0.001,0.01,0.195337948
124,7440,0.688888889,93.104,40,150,0.001,0.01,0.194996562
126,7560,0.7,92.761,40,150,0.001,0.01,0.194278184
128,7680,0.711111111,92.619,40,150,0.001,0.01,0.19398078
130,7800,0.722222222,92.092,40,150,0.001,0.01,0.192877034
132,7920,0.733333333,91.6,40,150,0.001,0.01,0.191846591
134,8040,0.744444444,91.507,40,150,0.001,0.01,0.191651813
136,8160,0.755555556,91.159,40,150,0.001,0.01,0.190922963
138,8280,0.766666667,90.706,40,150,0.001,0.01,0.189974202
140,8400,0.777777778,90.509,40,150,0.001,0.01,0.189561606
142,8520,0.788888889,90.136,40,150,0.001,0.01,0.188780397
144,8640,0.8,89.755,40,150,0.001,0.01,0.187982432
146,8760,0.811111111,89.368,40,150,0.001,0.01,0.187171902
148,8880,0.822222222,88.784,40,150,0.001,0.01,0.185948775
150,9000,0.833333333,87.905,40,150,0.001,0.01,0.184107801
152,9120,0.844444444,87.368,40,150,0.001,0.01,0.182983111
154,9240,0.855555556,86.717,40,150,0.001,0.01,0.18161966
156,9360,0.866666667,85.997,40,150,0.001,0.01,0.180111696
158,9480,0.877777778,85.532,40,150,0.001,0.01,0.179137802
160,9600,0.888888889,85.127,40,150,0.001,0.01,0.178289572
162,9720,0.9,84.539,40,150,0.001,0.01,0.177058068
164,9840,0.911111111,84.154,40,150,0.001,0.01,0.176251725
166,9960,0.922222222,84.098,40,150,0.001,0.01,0.176134439
168,10080,0.933333333,83.638,40,150,0.001,0.01,0.175171018
170,10200,0.944444444,83.51,40,150,0.001,0.01,0.174902935
172,10320,0.955555556,83.624,40,150,0.001,0.01,0.175141696
174,10440,0.966666667,83.334,40,150,0.001,0.01,0.174534321
176,10560,0.977777778,83.393,40,150,0.001,0.01,0.174657891
178,10680,0.988888889,83.667,40,150,0.001,0.01,0.175231755
180,10800,1,83.646,40,150,0.001,0.01,0.175187773
