Time(min),t1,t,eta,Pressure,Temperature,H,r,tau
2,120,0.011111111,155.01,40,150,0.001,0.01,0.324652185
4,240,0.022222222,152.16,40,150,0.001,0.01,0.318683159
6,360,0.033333333,149.17,40,150,0.001,0.01,0.312420917
8,480,0.044444444,146.44,40,150,0.001,0.01,0.306703219
10,600,0.055555556,144.11,40,150,0.001,0.01,0.301823278
12,720,0.066666667,141.51,40,150,0.001,0.01,0.296377851
14,840,0.077777778,138.81,40,150,0.001,0.01,0.290722984
16,960,0.088888889,137.05,40,150,0.001,0.01,0.287036849
18,1080,0.1,135.26,40,150,0.001,0.01,0.283287882
20,1200,0.111111111,133.08,40,150,0.001,0.01,0.2787221
22,1320,0.122222222,131.64,40,150,0.001,0.01,0.275706171
24,1440,0.133333333,130.09,40,150,0.001,0.01,0.272459859
26,1560,0.144444444,128.27,40,150,0.001,0.01,0.26864806
28,1680,0.155555556,126.71,40,150,0.001,0.01,0.265380803
30,1800,0.166666667,125.02,40,150,0.001,0.01,0.261841276
32,1920,0.177777778,122.94,40,150,0.001,0.01,0.257484934
34,2040,0.188888889,121.18,40,150,0.001,0.01,0.253798799
36,2160,0.2,119.7,40,150,0.001,0.01,0.250699094
38,2280,0.211111111,118.1,40,150,0.001,0.01,0.247348062
40,2400,0.222222222,116.79,40,150,0.001,0.01,0.244604404
42,2520,0.233333333,115.63,40,150,0.001,0.01,0.242174906
44,2640,0.244444444,114.27,40,150,0.001,0.01,0.239326528
46,2760,0.255555556,113.09,40,150,0.001,0.01,0.236855142
48,2880,0.266666667,112.26,40,150,0.001,0.01,0.235116794
50,3000,0.277777778,111.29,40,150,0.001,0.01,0.233085231
52,3120,0.288888889,110.78,40,150,0.001,0.01,0.232017089
54,3240,0.3,110.53,40,150,0.001,0.01,0.231493491
56,3360,0.311111111,110.08,40,150,0.001,0.01,0.230551013
58,3480,0.322222222,109.55,40,150,0.001,0.01,0.229440983
60,3600,0.333333333,109.34,40,150,0.001,0.01,0.22900116
62,3720,0.344444444,108.57,40,150,0.001,0.01,0.227388476
64,3840,0.355555556,108.18,40,150,0.001,0.01,0.226571662
66,3960,0.366666667,108.03,40,150,0.001,0.01,0.226257503
68,4080,0.377777778,107.5,40,150,0.001,0.01,0.225147474
70,4200,0.388888889,106.86,40,150,0.001,0.01,0.223807061
72,4320,0.4,106.33,40,150,0.001,0.01,0.222697031
74,4440,0.411111111,105.91,40,150,0.001,0.01,0.221817385
76,4560,0.422222222,105.47,40,150,0.001,0.01,0.220895851
78,4680,0.433333333,105.13,40,150,0.001,0.01,0.220183757
80,4800,0.444444444,104.46,40,150,0.001,0.01,0.218780512
82,4920,0.455555556,103.62,40,150,0.001,0.01,0.217021221
84,5040,0.466666667,102.74,40,150,0.001,0.01,0.215178153
86,5160,0.477777778,101.73,40,150,0.001,0.01,0.213062814
88,5280,0.488888889,100.48,40,150,0.001,0.01,0.21044482
90,5400,0.5,99.632,40,150,0.001,0.01,0.208668773
92,5520,0.511111111,98.965,40,150,0.001,0.01,0.207271811
94,5640,0.522222222,97.78,40,150,0.001,0.01,0.204789953
96,5760,0.533333333,97.129,40,150,0.001,0.01,0.203426502
98,5880,0.544444444,96.507,40,150,0.001,0.01,0.202123788
100,6000,0.555555556,95.742,40,150,0.001,0.01,0.200521576
102,6120,0.566666667,95.224,40,150,0.001,0.01,0.199436679
104,6240,0.577777778,95.008,40,150,0.001,0.01,0.19898429
106,6360,0.588888889,94.452,40,150,0.001,0.01,0.197819806
108,6480,0.6,94.253,40,150,0.001,0.01,0.197403022
110,6600,0.611111111,94.234,40,150,0.001,0.01,0.197363228
112,6720,0.622222222,93.734,40,150,0.001,0.01,0.196316031
114,6840,0.633333333,93.67,40,150,0.001,0.01,0.196181989
116,6960,0.644444444,93.604,40,150,0.001,0.01,0.196043759
118,7080,0.655555556,93.297,40,150,0.001,0.01,0.19540078
120,7200,0.666666667,93.258,40,150,0.001,0.01,0.195319098
