Time(min),t1,t,eta,Pressure,Temperature,H,r1,r,tau
5,300,0.003472222,3750.6,80,120,0.001,0.01,1,0.058914287
10,600,0.006944444,3337.7,80,120,0.001,0.01,1,0.052428469
15,900,0.010416667,3082.7,80,120,0.001,0.01,1,0.048422938
20,1200,0.013888889,2847.3,80,120,0.001,0.01,1,0.044725284
25,1500,0.017361111,2639.7,80,120,0.001,0.01,1,0.041464311
30,1800,0.020833333,2466.3,80,120,0.001,0.01,1,0.03874055
35,2100,0.024305556,2332,80,120,0.001,0.01,1,0.03663097
40,2400,0.027777778,2212.4,80,120,0.001,0.01,1,0.034752298
45,2700,0.03125,2090,80,120,0.001,0.01,1,0.032829643
50,3000,0.034722222,1993.9,80,120,0.001,0.01,1,0.031320108
55,3300,0.038194444,1903.5,80,120,0.001,0.01,1,0.029900108
60,3600,0.041666667,1831.9,80,120,0.001,0.01,1,0.028775418
65,3900,0.045138889,1760.7,80,120,0.001,0.01,1,0.027657011
70,4200,0.048611111,1683.7,80,120,0.001,0.01,1,0.026447498
75,4500,0.052083333,1633.3,80,120,0.001,0.01,1,0.025655816
80,4800,0.055555556,1564.8,80,120,0.001,0.01,1,0.024579821
85,5100,0.059027778,1486.7,80,120,0.001,0.01,1,0.023353029
90,5400,0.0625,1435.4,80,120,0.001,0.01,1,0.02254721
95,5700,0.065972222,1386.8,80,120,0.001,0.01,1,0.021783803
100,6000,0.069444444,1326.4,80,120,0.001,0.01,1,0.020835042
105,6300,0.072916667,1280.7,80,120,0.001,0.01,1,0.020117189
110,6600,0.076388889,1222.5,80,120,0.001,0.01,1,0.019202985
115,6900,0.079861111,1175,80,120,0.001,0.01,1,0.018456857
120,7200,0.083333333,1143.9,80,120,0.001,0.01,1,0.017968339
125,7500,0.086805556,1098.3,80,120,0.001,0.01,1,0.017252056
130,7800,0.090277778,1067.9,80,120,0.001,0.01,1,0.016774534
135,8100,0.09375,1031.2,80,120,0.001,0.01,1,0.016198052
140,8400,0.097222222,1011.5,80,120,0.001,0.01,1,0.015888605
145,8700,0.100694444,990.71,80,120,0.001,0.01,1,0.015562036
150,9000,0.104166667,955.31,80,120,0.001,0.01,1,0.015005974
155,9300,0.107638889,933.46,80,120,0.001,0.01,1,0.014662755
160,9600,0.111111111,913.64,80,120,0.001,0.01,1,0.014351424
165,9900,0.114583333,896.18,80,120,0.001,0.01,1,0.014077163
170,10200,0.118055556,859.3,80,120,0.001,0.01,1,0.013497853
175,10500,0.121527778,840.9,80,120,0.001,0.01,1,0.013208826
180,10800,0.125,810.74,80,120,0.001,0.01,1,0.012735074
185,11100,0.128472222,795.07,80,120,0.001,0.01,1,0.01248893
190,11400,0.131944444,773.53,80,120,0.001,0.01,1,0.012150581
195,11700,0.135416667,753.95,80,120,0.001,0.01,1,0.011843019
200,12000,0.138888889,735.35,80,120,0.001,0.01,1,0.011550851
205,12300,0.142361111,720.45,80,120,0.001,0.01,1,0.011316802
210,12600,0.145833333,702.34,80,120,0.001,0.01,1,0.011032331
215,12900,0.149305556,684.07,80,120,0.001,0.01,1,0.010745346
220,13200,0.152777778,666.05,80,120,0.001,0.01,1,0.010462289
225,13500,0.15625,650.05,80,120,0.001,0.01,1,0.010210962
230,13800,0.159722222,633.91,80,120,0.001,0.01,1,0.009957435
235,14100,0.163194444,618.3,80,120,0.001,0.01,1,0.009712234
240,14400,0.166666667,604.49,80,120,0.001,0.01,1,0.009495307
245,14700,0.170138889,595.53,80,120,0.001,0.01,1,0.009354563
250,15000,0.173611111,583.6,80,120,0.001,0.01,1,0.009167167
255,15300,0.177083333,575.96,80,120,0.001,0.01,1,0.009047159
260,15600,0.180555556,560.86,80,120,0.001,0.01,1,0.008809968
265,15900,0.184027778,550.71,80,120,0.001,0.01,1,0.008650532
270,16200,0.1875,538.65,80,120,0.001,0.01,1,0.008461094
275,16500,0.190972222,525.73,80,120,0.001,0.01,1,0.008258148
280,16800,0.194444444,516.22,80,120,0.001,0.01,1,0.008108765
285,17100,0.197916667,507.83,80,120,0.001,0.01,1,0.007976975
290,17400,0.201388889,498.21,80,120,0.001,0.01,1,0.007825864
295,17700,0.204861111,488.3,80,120,0.001,0.01,1,0.007670198
300,18000,0.208333333,477.7,80,120,0.001,0.01,1,0.007503694
305,18300,0.211805556,465.79,80,120,0.001,0.01,1,0.007316612
310,18600,0.215277778,458.98,80,120,0.001,0.01,1,0.007209641
315,18900,0.21875,451.1,80,120,0.001,0.01,1,0.007085862
320,19200,0.222222222,440.59,80,120,0.001,0.01,1,0.006920772
325,19500,0.225694444,433.28,80,120,0.001,0.01,1,0.006805946
330,19800,0.229166667,426.57,80,120,0.001,0.01,1,0.006700546
335,20100,0.232638889,420.86,80,120,0.001,0.01,1,0.006610853
340,20400,0.236111111,414.58,80,120,0.001,0.01,1,0.006512207
345,20700,0.239583333,407.96,80,120,0.001,0.01,1,0.006408221
350,21000,0.243055556,400.49,80,120,0.001,0.01,1,0.006290882
355,21300,0.246527778,394.48,80,120,0.001,0.01,1,0.006196477
360,21600,0.25,388.17,80,120,0.001,0.01,1,0.00609736
365,21900,0.253472222,383.14,80,120,0.001,0.01,1,0.006018349
370,22200,0.256944444,376.68,80,120,0.001,0.01,1,0.005916876
375,22500,0.260416667,370.78,80,120,0.001,0.01,1,0.005824199
380,22800,0.263888889,365.52,80,120,0.001,0.01,1,0.005741575
385,23100,0.267361111,360.34,80,120,0.001,0.01,1,0.005660207
390,23400,0.270833333,354.69,80,120,0.001,0.01,1,0.005571457
395,23700,0.274305556,349.33,80,120,0.001,0.01,1,0.005487263
400,24000,0.277777778,345.44,80,120,0.001,0.01,1,0.005426159
405,24300,0.28125,342.4,80,120,0.001,0.01,1,0.005378407
410,24600,0.284722222,338.11,80,120,0.001,0.01,1,0.005311019
415,24900,0.288194444,334,80,120,0.001,0.01,1,0.00524646
420,25200,0.291666667,328.98,80,120,0.001,0.01,1,0.005167606
425,25500,0.295138889,326.44,80,120,0.001,0.01,1,0.005127708
430,25800,0.298611111,323.45,80,120,0.001,0.01,1,0.005080741
435,26100,0.302083333,320.14,80,120,0.001,0.01,1,0.005028747
440,26400,0.305555556,316.47,80,120,0.001,0.01,1,0.004971099
445,26700,0.309027778,314.43,80,120,0.001,0.01,1,0.004939055
450,27000,0.3125,311.37,80,120,0.001,0.01,1,0.004890989
455,27300,0.315972222,310.13,80,120,0.001,0.01,1,0.004871511
