Time(min),t1,t,eta,Pressure,Temperature,H,r1,r,tau
460,27600,0.319444444,307.77,80,120,0.001,0.01,1,0.00483444
465,27900,0.322916667,304.18,80,120,0.001,0.01,1,0.004778048
470,28200,0.326388889,302.31,80,120,0.001,0.01,1,0.004748674
475,28500,0.329861111,299.75,80,120,0.001,0.01,1,0.004708462
480,28800,0.333333333,295.3,80,120,0.001,0.01,1,0.004638562
485,29100,0.336805556,292.72,80,120,0.001,0.01,1,0.004598035
490,29400,0.340277778,291.57,80,120,0.001,0.01,1,0.004579971
495,29700,0.34375,288.1,80,120,0.001,0.01,1,0.004525464
500,30000,0.347222222,284.96,80,120,0.001,0.01,1,0.004476141
505,30300,0.350694444,283.21,80,120,0.001,0.01,1,0.004448652
510,30600,0.354166667,279.21,80,120,0.001,0.01,1,0.00438582
515,30900,0.357638889,277.3,80,120,0.001,0.01,1,0.004355818
520,31200,0.361111111,274.73,80,120,0.001,0.01,1,0.004315449
525,31500,0.364583333,271.09,80,120,0.001,0.01,1,0.004258272
530,31800,0.368055556,268.91,80,120,0.001,0.01,1,0.004224028
535,32100,0.371527778,266.39,80,120,0.001,0.01,1,0.004184444
540,32400,0.375,263.46,80,120,0.001,0.01,1,0.00413842
545,32700,0.378472222,261.44,80,120,0.001,0.01,1,0.00410669
550,33000,0.381944444,258.16,80,120,0.001,0.01,1,0.004055168
555,33300,0.385416667,256.22,80,120,0.001,0.01,1,0.004024694
560,33600,0.388888889,253.96,80,120,0.001,0.01,1,0.003989194
565,33900,0.392361111,253.04,80,120,0.001,0.01,1,0.003974743
570,34200,0.395833333,252.39,80,120,0.001,0.01,1,0.003964533
575,34500,0.399305556,250.21,80,120,0.001,0.01,1,0.003930289
580,34800,0.402777778,249.42,80,120,0.001,0.01,1,0.00391788
585,35100,0.40625,247.42,80,120,0.001,0.01,1,0.003886464
590,35400,0.409722222,246.77,80,120,0.001,0.01,1,0.003876254
595,35700,0.413194444,246.49,80,120,0.001,0.01,1,0.003871856
600,36000,0.416666667,245.33,80,120,0.001,0.01,1,0.003853635
605,36300,0.420138889,243.11,80,120,0.001,0.01,1,0.003818763
610,36600,0.423611111,240.94,80,120,0.001,0.01,1,0.003784677
615,36900,0.427083333,239.1,80,120,0.001,0.01,1,0.003755774
620,37200,0.430555556,238.29,80,120,0.001,0.01,1,0.003743051
625,37500,0.434027778,236.4,80,120,0.001,0.01,1,0.003713363
630,37800,0.4375,234.27,80,120,0.001,0.01,1,0.003679905
635,38100,0.440972222,233.72,80,120,0.001,0.01,1,0.003671265
640,38400,0.444444444,232.88,80,120,0.001,0.01,1,0.00365807
645,38700,0.447916667,231.58,80,120,0.001,0.01,1,0.00363765
650,39000,0.451388889,229.82,80,120,0.001,0.01,1,0.003610004
655,39300,0.454861111,228.3,80,120,0.001,0.01,1,0.003586128
660,39600,0.458333333,226.88,80,120,0.001,0.01,1,0.003563823
665,39900,0.461805556,225.73,80,120,0.001,0.01,1,0.003545759
670,40200,0.465277778,225.07,80,120,0.001,0.01,1,0.003535391
675,40500,0.46875,225.56,80,120,0.001,0.01,1,0.003543088
680,40800,0.472222222,224.23,80,120,0.001,0.01,1,0.003522197
685,41100,0.475694444,223.26,80,120,0.001,0.01,1,0.00350696
690,41400,0.479166667,223.96,80,120,0.001,0.01,1,0.003517955
695,41700,0.482638889,226.34,80,120,0.001,0.01,1,0.00355534
700,42000,0.486111111,223.27,80,120,0.001,0.01,1,0.003507117
705,42300,0.489583333,221.66,80,120,0.001,0.01,1,0.003481827
710,42600,0.493055556,221.81,80,120,0.001,0.01,1,0.003484183
715,42900,0.496527778,219.96,80,120,0.001,0.01,1,0.003455124
720,43200,0.5,218.3,80,120,0.001,0.01,1,0.003429048
725,43500,0.503472222,216.65,80,120,0.001,0.01,1,0.00340313
730,43800,0.506944444,215.97,80,120,0.001,0.01,1,0.003392449
735,44100,0.510416667,214.25,80,120,0.001,0.01,1,0.003365431
740,44400,0.513888889,213.29,80,120,0.001,0.01,1,0.003350351
745,44700,0.517361111,212.45,80,120,0.001,0.01,1,0.003337157
750,45000,0.520833333,211.79,80,120,0.001,0.01,1,0.00332679
755,45300,0.524305556,210.94,80,120,0.001,0.01,1,0.003313438
760,45600,0.527777778,211.17,80,120,0.001,0.01,1,0.003317051
765,45900,0.53125,210.47,80,120,0.001,0.01,1,0.003306055
770,46200,0.534722222,210,80,120,0.001,0.01,1,0.003298672
775,46500,0.538194444,208.9,80,120,0.001,0.01,1,0.003281394
780,46800,0.541666667,207.98,80,120,0.001,0.01,1,0.003266942
785,47100,0.545138889,206.92,80,120,0.001,0.01,1,0.003250292
790,47400,0.548611111,205.54,80,120,0.001,0.01,1,0.003228615
795,47700,0.552083333,204.54,80,120,0.001,0.01,1,0.003212907
800,48000,0.555555556,204.28,80,120,0.001,0.01,1,0.003208823
805,48300,0.559027778,203.33,80,120,0.001,0.01,1,0.0031939
810,48600,0.5625,205.06,80,120,0.001,0.01,1,0.003221075
815,48900,0.565972222,203.66,80,120,0.001,0.01,1,0.003199084
820,49200,0.569444444,202.91,80,120,0.001,0.01,1,0.003187303
825,49500,0.572916667,202.44,80,120,0.001,0.01,1,0.00317992
830,49800,0.576388889,202.54,80,120,0.001,0.01,1,0.003181491
835,50100,0.579861111,203.34,80,120,0.001,0.01,1,0.003194057
840,50400,0.583333333,201.09,80,120,0.001,0.01,1,0.003158714
845,50700,0.586805556,200.61,80,120,0.001,0.01,1,0.003151175
850,51000,0.590277778,198.21,80,120,0.001,0.01,1,0.003113475
855,51300,0.59375,198.2,80,120,0.001,0.01,1,0.003113318
860,51600,0.597222222,197.57,80,120,0.001,0.01,1,0.003103422
865,51900,0.600694444,196.64,80,120,0.001,0.01,1,0.003088814
870,52200,0.604166667,198.24,80,120,0.001,0.01,1,0.003113947
875,52500,0.607638889,196.62,80,120,0.001,0.01,1,0.0030885
880,52800,0.611111111,197.32,80,120,0.001,0.01,1,0.003099495
885,53100,0.614583333,195.43,80,120,0.001,0.01,1,0.003069807
890,53400,0.618055556,195.1,80,120,0.001,0.01,1,0.003064624
895,53700,0.621527778,194.89,80,120,0.001,0.01,1,0.003061325
900,54000,0.625,194.45,80,120,0.001,0.01,1,0.003054413
905,54300,0.628472222,194.09,80,120,0.001,0.01,1,0.003048759
910,54600,0.631944444,193.18,80,120,0.001,0.01,1,0.003034464
915,54900,0.635416667,192.02,80,120,0.001,0.01,1,0.003016243
920,55200,0.638888889,192.2,80,120,0.001,0.01,1,0.003019071
925,55500,0.642361111,192.06,80,120,0.001,0.01,1,0.003016871
930,55800,0.645833333,191.67,80,120,0.001,0.01,1,0.003010745
935,56100,0.649305556,193.12,80,120,0.001,0.01,1,0.003033522
940,56400,0.652777778,191.63,80,120,0.001,0.01,1,0.003010117
945,56700,0.65625,191.03,80,120,0.001,0.01,1,0.003000692
950,57000,0.659722222,190.96,80,120,0.001,0.01,1,0.002999593
955,57300,0.663194444,189.9,80,120,0.001,0.01,1,0.002982942
960,57600,0.666666667,188.65,80,120,0.001,0.01,1,0.002963307
965,57900,0.670138889,187.86,80,120,0.001,0.01,1,0.002950898
970,58200,0.673611111,186.8,80,120,0.001,0.01,1,0.002934248
975,58500,0.677083333,186.94,80,120,0.001,0.01,1,0.002936447
980,58800,0.680555556,186.29,80,120,0.001,0.01,1,0.002926236
985,59100,0.684027778,186.36,80,120,0.001,0.01,1,0.002927336
990,59400,0.6875,185.52,80,120,0.001,0.01,1,0.002914141
995,59700,0.690972222,184.21,80,120,0.001,0.01,1,0.002893564
1000,60000,0.694444444,185.37,80,120,0.001,0.01,1,0.002911785
1005,60300,0.697916667,184.45,80,120,0.001,0.01,1,0.002897334
1010,60600,0.701388889,183.86,80,120,0.001,0.01,1,0.002888066
1015,60900,0.704861111,185.22,80,120,0.001,0.01,1,0.002909429
1020,61200,0.708333333,185.54,80,120,0.001,0.01,1,0.002914456
1025,61500,0.711805556,188.94,80,120,0.001,0.01,1,0.002967863
1030,61800,0.715277778,190.9,80,120,0.001,0.01,1,0.00299865
1035,62100,0.71875,191.33,80,120,0.001,0.01,1,0.003005405
1040,62400,0.722222222,193.48,80,120,0.001,0.01,1,0.003039177
1045,62700,0.725694444,202.86,80,120,0.001,0.01,1,0.003186517
1050,63000,0.729166667,208.86,80,120,0.001,0.01,1,0.003280765
1055,63300,0.732638889,210.08,80,120,0.001,0.01,1,0.003299929
1060,63600,0.736111111,212.72,80,120,0.001,0.01,1,0.003341398
1065,63900,0.739583333,215.4,80,120,0.001,0.01,1,0.003383495
1070,64200,0.743055556,217.81,80,120,0.001,0.01,1,0.003421351
1075,64500,0.746527778,219.83,80,120,0.001,0.01,1,0.003453082
1080,64800,0.75,221.44,80,120,0.001,0.01,1,0.003478371
1085,65100,0.753472222,223.08,80,120,0.001,0.01,1,0.003504132
1090,65400,0.756944444,224.2,80,120,0.001,0.01,1,0.003521725
1095,65700,0.760416667,225.26,80,120,0.001,0.01,1,0.003538376
1100,66000,0.763888889,226.64,80,120,0.001,0.01,1,0.003560053
1105,66300,0.767361111,227.3,80,120,0.001,0.01,1,0.00357042
1110,66600,0.770833333,228.16,80,120,0.001,0.01,1,0.003583929
1115,66900,0.774305556,230.66,80,120,0.001,0.01,1,0.003623199
1120,67200,0.777777778,226.14,80,120,0.001,0.01,1,0.003552199
1125,67500,0.78125,227.81,80,120,0.001,0.01,1,0.003578431
1130,67800,0.784722222,229.46,80,120,0.001,0.01,1,0.003604349
1135,68100,0.788194444,229.82,80,120,0.001,0.01,1,0.003610004
1140,68400,0.791666667,228.92,80,120,0.001,0.01,1,0.003595867
1145,68700,0.795138889,229.63,80,120,0.001,0.01,1,0.00360702
1150,69000,0.798611111,228.31,80,120,0.001,0.01,1,0.003586285
1155,69300,0.802083333,228.18,80,120,0.001,0.01,1,0.003584243
1160,69600,0.805555556,227.13,80,120,0.001,0.01,1,0.00356775
1165,69900,0.809027778,227.08,80,120,0.001,0.01,1,0.003566964
1170,70200,0.8125,226.76,80,120,0.001,0.01,1,0.003561938
1175,70500,0.815972222,226.05,80,120,0.001,0.01,1,0.003550785
1180,70800,0.819444444,224.29,80,120,0.001,0.01,1,0.003523139
1185,71100,0.822916667,224.14,80,120,0.001,0.01,1,0.003520783
1190,71400,0.826388889,225.56,80,120,0.001,0.01,1,0.003543088
1195,71700,0.829861111,226.42,80,120,0.001,0.01,1,0.003556597
1200,72000,0.833333333,226.01,80,120,0.001,0.01,1,0.003550157
1205,72300,0.836805556,225.9,80,120,0.001,0.01,1,0.003548429
1210,72600,0.840277778,227.85,80,120,0.001,0.01,1,0.003579059
1215,72900,0.84375,229.25,80,120,0.001,0.01,1,0.003601051
1220,73200,0.847222222,227.77,80,120,0.001,0.01,1,0.003577803
1225,73500,0.850694444,226.55,80,120,0.001,0.01,1,0.003558639
1230,73800,0.854166667,228.28,80,120,0.001,0.01,1,0.003585814
1235,74100,0.857638889,227.1,80,120,0.001,0.01,1,0.003567278
1240,74400,0.861111111,228.51,80,120,0.001,0.01,1,0.003589427
1245,74700,0.864583333,229.56,80,120,0.001,0.01,1,0.00360592
1250,75000,0.868055556,229.36,80,120,0.001,0.01,1,0.003602778
1255,75300,0.871527778,227.42,80,120,0.001,0.01,1,0.003572305
1260,75600,0.875,229.41,80,120,0.001,0.01,1,0.003603564
1265,75900,0.878472222,228.6,80,120,0.001,0.01,1,0.00359084
1270,76200,0.881944444,223.82,80,120,0.001,0.01,1,0.003515756
1275,76500,0.885416667,224.99,80,120,0.001,0.01,1,0.003534135
1280,76800,0.888888889,223.09,80,120,0.001,0.01,1,0.00350429
1285,77100,0.892361111,227.22,80,120,0.001,0.01,1,0.003569163
1290,77400,0.895833333,229.18,80,120,0.001,0.01,1,0.003599951
1295,77700,0.899305556,233.12,80,120,0.001,0.01,1,0.00366184
1300,78000,0.902777778,233.25,80,120,0.001,0.01,1,0.003663882
1305,78300,0.90625,234.49,80,120,0.001,0.01,1,0.00368336
1310,78600,0.909722222,234.98,80,120,0.001,0.01,1,0.003691057
1315,78900,0.913194444,235.23,80,120,0.001,0.01,1,0.003694984
1320,79200,0.916666667,235.17,80,120,0.001,0.01,1,0.003694042
1325,79500,0.920138889,237.2,80,120,0.001,0.01,1,0.003725929
1330,79800,0.923611111,239.94,80,120,0.001,0.01,1,0.003768969
1335,80100,0.927083333,243.42,80,120,0.001,0.01,1,0.003823632
1340,80400,0.930555556,245.81,80,120,0.001,0.01,1,0.003861174
1345,80700,0.934027778,247.72,80,120,0.001,0.01,1,0.003891177
1350,81000,0.9375,249.72,80,120,0.001,0.01,1,0.003922593
1355,81300,0.940972222,250.26,80,120,0.001,0.01,1,0.003931075
1360,81600,0.944444444,251.75,80,120,0.001,0.01,1,0.00395448
1365,81900,0.947916667,252.52,80,120,0.001,0.01,1,0.003966575
1370,82200,0.951388889,252.13,80,120,0.001,0.01,1,0.003960449
1375,82500,0.954861111,252.71,80,120,0.001,0.01,1,0.003969559
1380,82800,0.958333333,253.64,80,120,0.001,0.01,1,0.003984168
1385,83100,0.961805556,254.99,80,120,0.001,0.01,1,0.004005374
1390,83400,0.965277778,255.91,80,120,0.001,0.01,1,0.004019825
1395,83700,0.96875,257.5,80,120,0.001,0.01,1,0.004044801
1400,84000,0.972222222,260.08,80,120,0.001,0.01,1,0.004085327
1405,84300,0.975694444,261.82,80,120,0.001,0.01,1,0.004112659
1410,84600,0.979166667,263.06,80,120,0.001,0.01,1,0.004132137
1415,84900,0.982638889,263.47,80,120,0.001,0.01,1,0.004138577
1420,85200,0.986111111,264.48,80,120,0.001,0.01,1,0.004154442
1425,85500,0.989583333,264.95,80,120,0.001,0.01,1,0.004161825
1430,85800,0.993055556,265.58,80,120,0.001,0.01,1,0.004171721
1435,86100,0.996527778,265.93,80,120,0.001,0.01,1,0.004177219
1440,86400,1,265.34,80,120,0.001,0.01,1,0.004167951
