Time(min),t1,t,eta,Pressure,Temperature,H,r,tau
2,120,0.011111111,341.87,20,150,0.001,1,0.716010854
4,240,0.022222222,332.61,20,150,0.001,1,0.696616755
6,360,0.033333333,323.35,20,150,0.001,1,0.677222656
8,480,0.044444444,314.92,20,150,0.001,1,0.659566906
10,600,0.055555556,307.09,20,150,0.001,1,0.643167792
12,720,0.066666667,300.49,20,150,0.001,1,0.629344784
14,840,0.077777778,294.43,20,150,0.001,1,0.61665275
16,960,0.088888889,287.9,20,150,0.001,1,0.60297635
18,1080,0.1,282.56,20,150,0.001,1,0.59179228
20,1200,0.111111111,278.04,20,150,0.001,1,0.582325614
22,1320,0.122222222,273.39,20,150,0.001,1,0.572586677
24,1440,0.133333333,268.8,20,150,0.001,1,0.562973404
26,1560,0.144444444,264.83,20,150,0.001,1,0.554658655
28,1680,0.155555556,260.44,20,150,0.001,1,0.54546426
30,1800,0.166666667,256.44,20,150,0.001,1,0.53708668
32,1920,0.177777778,253.07,20,150,0.001,1,0.530028569
34,2040,0.188888889,249.98,20,150,0.001,1,0.523556888
36,2160,0.2,246.86,20,150,0.001,1,0.517022375
38,2280,0.211111111,244.21,20,150,0.001,1,0.511472228
40,2400,0.222222222,241.25,20,150,0.001,1,0.505272818
42,2520,0.233333333,238.56,20,150,0.001,1,0.499638896
44,2640,0.244444444,236.24,20,150,0.001,1,0.494779899
46,2760,0.255555556,233.61,20,150,0.001,1,0.48927164
48,2880,0.266666667,231.07,20,150,0.001,1,0.483951876
50,3000,0.277777778,229.42,20,150,0.001,1,0.480496124
52,3120,0.288888889,227.51,20,150,0.001,1,0.47649583
54,3240,0.3,225.31,20,150,0.001,1,0.471888161
56,3360,0.311111111,223.55,20,150,0.001,1,0.468202025
58,3480,0.322222222,221.4,20,150,0.001,1,0.463699076
60,3600,0.333333333,219.51,20,150,0.001,1,0.459740669
62,3720,0.344444444,218.12,20,150,0.001,1,0.45682946
64,3840,0.355555556,216.97,20,150,0.001,1,0.454420905
66,3960,0.366666667,215.29,20,150,0.001,1,0.450902322
68,4080,0.377777778,214.26,20,150,0.001,1,0.448745095
70,4200,0.388888889,212.89,20,150,0.001,1,0.445875773
72,4320,0.4,211.2,20,150,0.001,1,0.442336246
74,4440,0.411111111,209.57,20,150,0.001,1,0.438922382
76,4560,0.422222222,208.43,20,150,0.001,1,0.436534771
78,4680,0.433333333,207.11,20,150,0.001,1,0.43377017
80,4800,0.444444444,206.01,20,150,0.001,1,0.431466335
82,4920,0.455555556,204.74,20,150,0.001,1,0.428806453
84,5040,0.466666667,203.65,20,150,0.001,1,0.426523563
86,5160,0.477777778,202.51,20,150,0.001,1,0.424135952
88,5280,0.488888889,201.53,20,150,0.001,1,0.422083445
90,5400,0.5,199.9,20,150,0.001,1,0.418669581
92,5520,0.511111111,198.92,20,150,0.001,1,0.416617074
94,5640,0.522222222,198.34,20,150,0.001,1,0.415402325
96,5760,0.533333333,197.43,20,150,0.001,1,0.413496425
98,5880,0.544444444,196.34,20,150,0.001,1,0.411213534
100,6000,0.555555556,195.31,20,150,0.001,1,0.409056307
102,6120,0.566666667,193.65,20,150,0.001,1,0.405579612
104,6240,0.577777778,192.18,20,150,0.001,1,0.402500851
106,6360,0.588888889,190.71,20,150,0.001,1,0.39942209
108,6480,0.6,188.92,20,150,0.001,1,0.395673123
110,6600,0.611111111,187.19,20,150,0.001,1,0.392049819
112,6720,0.622222222,186.01,20,150,0.001,1,0.389578433
114,6840,0.633333333,184.95,20,150,0.001,1,0.387358374
116,6960,0.644444444,184.08,20,150,0.001,1,0.38553625
118,7080,0.655555556,183.57,20,150,0.001,1,0.384468109
120,7200,0.666666667,182.99,20,150,0.001,1,0.38325336
122,7320,0.677777778,182.7,20,150,0.001,1,0.382645985
124,7440,0.688888889,182.5,20,150,0.001,1,0.382227106
126,7560,0.7,182.1,20,150,0.001,1,0.381389348
128,7680,0.711111111,181.22,20,150,0.001,1,0.37954628
130,7800,0.722222222,180.79,20,150,0.001,1,0.378645691
132,7920,0.733333333,180.19,20,150,0.001,1,0.377389054
134,8040,0.744444444,179.39,20,150,0.001,1,0.375713537
136,8160,0.755555556,179.08,20,150,0.001,1,0.375064275
138,8280,0.766666667,178.53,20,150,0.001,1,0.373912358
140,8400,0.777777778,177.82,20,150,0.001,1,0.372425337
142,8520,0.788888889,177.16,20,150,0.001,1,0.371043036
144,8640,0.8,176.46,20,150,0.001,1,0.36957696
146,8760,0.811111111,175.65,20,150,0.001,1,0.3678805
148,8880,0.822222222,175.3,20,150,0.001,1,0.367147461
150,9000,0.833333333,174.84,20,150,0.001,1,0.36618404
152,9120,0.844444444,174.03,20,150,0.001,1,0.36448758
154,9240,0.855555556,173.35,20,150,0.001,1,0.363063391
156,9360,0.866666667,172.83,20,150,0.001,1,0.361974306
158,9480,0.877777778,171.98,20,150,0.001,1,0.36019407
160,9600,0.888888889,171.33,20,150,0.001,1,0.358832713
162,9720,0.9,171.26,20,150,0.001,1,0.358686105
164,9840,0.911111111,170.6,20,150,0.001,1,0.357303804
166,9960,0.922222222,170.25,20,150,0.001,1,0.356570766
168,10080,0.933333333,169.89,20,150,0.001,1,0.355816784
170,10200,0.944444444,169.39,20,150,0.001,1,0.354769586
172,10320,0.955555556,168.86,20,150,0.001,1,0.353659557
174,10440,0.966666667,168.48,20,150,0.001,1,0.352863687
176,10560,0.977777778,167.96,20,150,0.001,1,0.351774601
178,10680,0.988888889,167.69,20,150,0.001,1,0.351209115
180,10800,1,167.51,20,150,0.001,1,0.350832124
