# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 2.938946987430351987e-01 1.236603822134459278e+03 8.672661959863545178e+01 3.944091967638641563e+03 7.829554174085042905e+04 2.938946987430351987e-01 1.236603822134459278e+03 8.672661959863545178e+01 3.944091967638641563e+03 7.829554174085042905e+04
1.000000000000000000e+03 1.122295441304268415e+01 1.866832609919976890e-02 1.676459288029961692e-01 2.618996250522296343e-01 2.919621708996004150e-01 1.122295441304268415e+01 1.866832609919976890e-02 1.676459288029961692e-01 2.618996250522296343e-01 2.919621708996004150e-01
2.000000000000000000e+03 1.001260324921508449e+01 7.566091887607313653e-03 3.924712749420546792e-02 9.512394120224415550e-02 9.904369664618334346e-02 1.001260324921508449e+01 7.566091887607313653e-03 3.924712749420546792e-02 9.512394120224415550e-02 9.904369664618334346e-02
3.000000000000000000e+03 1.182185649276340378e+01 8.963260799039403370e-02 3.844245551912693903e-01 3.686786227549898043e-01 5.336908940081077635e-01 1.182185649276340378e+01 8.963260799039403370e-02 3.844245551912693903e-01 3.686786227549898043e-01 5.336908940081077635e-01
4.000000000000000000e+03 9.516513693591079459e+00 2.774051598634591151e-03 3.167271203772874157e-03 3.289338924970817979e-02 1.412025610325834679e-01 9.516513693591079459e+00 2.774051598634591151e-03 3.167271203772874157e-03 3.289338924970817979e-02 1.412025610325834679e-01
5.000000000000000000e+03 6.867790107189526871e+00 3.833721966932623383e-03 2.272577207269113955e-02 4.532722649739840542e-02 3.079528557356997834e-02 6.867790107189526871e+00 3.833721966932623383e-03 2.272577207269113955e-02 4.532722649739840542e-02 3.079528557356997834e-02
6.000000000000000000e+03 5.023266674864578896e+00 6.369593210256058007e-03 8.837335953376436806e-03 1.591759923918995012e-02 7.460437064138096194e-03 5.023266674864578896e+00 6.369593210256058007e-03 8.837335953376436806e-03 1.591759923918995012e-02 7.460437064138096194e-03
7.000000000000000000e+03 4.559108114630688213e+00 2.363162754241914687e+00 7.934659125935099311e-02 1.277903008133453477e+00 3.710267555051851018e-01 4.559108114630688213e+00 2.363162754241914687e+00 7.934659125935099311e-02 1.277903008133453477e+00 3.710267555051851018e-01
8.000000000000000000e+03 5.243758148655382811e+00 2.260407399263466011e-01 4.898991731662671878e-02 2.150566176681662223e-01 1.908605623666359552e-01 5.243758148655382811e+00 2.260407399263466011e-01 4.898991731662671878e-02 2.150566176681662223e-01 1.908605623666359552e-01
9.000000000000000000e+03 3.153363670903148730e+00 5.930951123581743728e-02 1.428521971204342947e-02 6.836339781207791122e-02 6.849512583373286445e-02 3.153363670903148730e+00 5.930951123581743728e-02 1.428521971204342947e-02 6.836339781207791122e-02 6.849512583373286445e-02
